,id,length,avg_inter
609,609,11,0.2859351205891331
610,610,14,0.21929404852819379
611,611,9,0.359947854465129
612,612,12,0.2555226546342325
613,613,9,0.36818043545728874
614,614,10,0.3252632170144221
615,615,12,0.25430670981556985
616,616,10,0.32494491599878667
617,617,10,0.315983311404115
618,618,10,0.32389169313208577
619,619,10,0.3194594766867185
620,620,11,0.1294549577758405
621,621,11,0.3077928718277797
622,622,12,0.26248958307929526
623,623,13,0.23153555562155592
624,624,10,0.32272929943741113
625,625,12,0.26173830038983964
626,626,11,0.3065141668601397
627,627,9,0.3670743138834659
628,628,11,0.2822557314710321
629,629,10,0.3198554842844552
630,630,10,0.33826089924115943
631,631,13,0.2308315585960015
632,632,10,0.32478317392503564
633,633,8,0.43604712787519234
634,634,10,0.33917096352838483
635,635,8,0.4398479305736684
636,636,10,0.31956900120167
637,637,10,0.3203089066944492
638,638,8,0.4283335666203452
639,639,10,0.31959367878686373
640,640,10,0.32818506577006246
641,641,9,0.3888191338043553
642,642,10,0.3225610304650943
643,643,9,0.37661189676555573
644,644,10,0.31862866195904893
645,645,8,0.43376068179216193
646,646,12,0.26371418927220114
647,647,11,0.28230724403406476
648,648,12,0.2600607149848795
649,649,10,0.31963140836255144
650,650,11,0.30189003159868233
651,651,9,0.36860160447132706
652,652,12,0.26445190547842873
653,653,9,0.37293190038009805
654,654,10,0.33188150472242006
655,655,11,0.2899573701467398
656,656,10,0.33534297696162463
657,657,10,0.3276594951521238
658,658,10,0.32130144249156173
659,659,12,0.26095858968526414
660,660,12,0.25884233198663753
661,661,9,0.3722228159355074
662,662,9,0.3734020268020749
663,663,10,0.3154629699510937
664,664,16,0.18534606430149897
665,665,12,0.2529031673761591
666,666,11,0.12557272983514467
667,667,11,0.28666561309348865
668,668,11,0.3032748564862762
669,669,18,0.09027111985585093
670,670,11,0.2875957901215332
671,671,10,0.3170998544277388
672,672,9,0.36974437655933273
673,673,10,0.34509661736490005
674,674,11,0.2889848037984957
